,Grade 7,,,,,,,,,,Grade 8,,,,,,,,,,Grade 9,,,,,,,,,,Grade 10,,,,,,,,,,,,
Student Number,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,,,
student 34,88,89,93,89,85,89,87,90,86,89,83,82,79,87,83,80,80,83,80,90,78,79,78,87,85,78,81,84,78,79,82,85,89,85,95,81,81,97,94,96,,,
student 35,83,85,84,83,82,84,84,87,82,86,85,85,83,87,80,82,84,85,80,81,86,87,79,81,86,85,87,90,87,82,84,86,85,95,94,96,98,82,95,99,,,
student 36,86,86,86,87,82,82,89,89,84,87,85,81,80,84,81,80,80,81,83,79,77,79,80,84,83,80,82,86,78,81,84,84,93,96,97,98,90,89,85,96,,,
student 37,86,85,82,87,81,87,85,91,83,85,85,81,80,81,81,80,80,81,83,79,77,79,80,84,83,80,82,80,78,81,87,88,91,95,98,93,97,95,85,90,,,
student 38,86,85,82,87,81,87,85,91,83,85,84,83,82,86,80,83,81,84,79,83,81,80,80,84,86,81,82,87,80,80,86,85,92,95,98,92,95,82,84,98,,,
student 39,87,87,85,87,81,83,84,86,80,81,83,83,76,80,75,76,78,80,76,76,78,77,75,80,75,71,75,88,79,77,80,87,83,81,90,84,87,90,83,98,,,
student 40,87,85,86,87,81,81,87,85,82,83,87,86,88,90,90,89,86,89,89,87,87,94,89,88,87,82,89,89,88,88,94,93,89,92,91,91,93,93,89,84,,,
student 41,87,91,86,91,84,88,85,93,87,96,89,83,83,87,84,92,84,85,85,83,80,85,81,89,88,88,85,88,84,86,81,84,85,81,78,78,77,79,78,93,,,
student 42,92,91,92,92,89,96,92,97,92,95,92,90,91,91,93,97,92,94,91,93,88,92,91,90,91,90,91,95,9,91,86,90,87,83,84,86,84,88,88,91,,,
student 43,86,82,85,88,81,84,90,88,81,83,87,85,85,85,84,92,82,91,83,87,76,8,78,84,84,79,80,84,79,81,93,92,88,90,84,86,91,90,89,81,,,
student 44,86,87,84,88,85,86,88,91,87,83,94,93,90,92,95,93,96,95,86,92,95,96,96,92,89,97,96,93,94,94,84,89,84,83,84,86,82,88,87,90,,,
